"","ACCOUNT_KEY","SEASON_YEAR","ACCOUNT_TYPE","sum(TICKET_SOLD)","sum(FLEX_PLAN_TICKET_SOLD)","sum(FULL_PLAN_TICKET_SOLD)","sum(FORTY_PLAN_TICKET_SOLD)","sum(GROUP_TICKET_SOLD)","sum(MINI_PLAN_TICKET_SOLD)","sum(SEASON_TICKET_SOLD)","sum(SINGLE_TICKET_SOLD)","sum(SIXPACK_PLAN_TICKET_SOLD)"
"16744",1421881,2024,"Individual",22,0,0,0,0,0,0,22,0
"16745",1421900,2021,"Individual",2,0,0,0,0,0,0,2,0
"16746",1421900,2022,"Individual",26,0,0,0,0,24,26,0,0
"16747",1421900,2023,"Individual",26,0,0,0,0,26,26,0,0
"16748",1421900,2024,"Individual",26,0,0,0,0,26,26,0,0
"16749",1421963,2023,"Individual",20,0,0,0,0,0,0,20,0
"16750",1421963,2024,"Individual",4,0,0,0,0,0,0,4,0
"16751",1422011,2022,"Individual",12,0,0,0,0,0,0,12,12
"16752",1422044,2021,"Individual",4,0,0,0,0,0,0,4,0
"16753",1422044,2023,"Individual",1,0,0,0,0,0,0,1,0
"16754",1422044,2024,"Individual",1,0,0,0,0,0,0,1,0
"16755",1422430,2024,"Individual",3,0,0,0,0,0,0,3,0
"16756",1422762,2024,"Individual",52,0,0,0,0,0,51,1,0
"16757",1423008,2023,"Individual",2,0,0,0,0,0,0,2,0
"16758",1424061,2024,"Individual",4,0,0,0,0,0,0,4,0
"16759",1424292,2021,"Individual",2,0,0,0,0,0,0,2,0
"16760",1424478,2022,"Individual",2,0,0,0,0,0,0,2,0
"16761",1424496,2023,"Individual",2,0,0,0,0,0,0,2,0
"16762",1424496,2024,"Individual",2,0,0,0,0,0,0,2,0
"16763",1424588,2023,"Individual",5,0,0,0,0,0,0,5,0
"16764",1424588,2024,"Individual",12,0,0,0,0,0,0,12,12
"16765",1424764,2024,"Individual",3,0,0,0,0,0,0,3,0
"16766",1424900,2021,"Individual",3,0,0,0,0,0,0,3,0
"16767",1424900,2022,"Individual",15,0,0,0,0,0,0,15,0
"16768",1424900,2023,"Individual",12,0,0,0,0,0,0,12,0
"16769",1424900,2024,"Individual",8,0,0,0,0,0,0,8,0
"16770",1425145,2021,"Individual",2,0,0,0,0,0,0,2,0
"16771",1425375,2022,"Individual",8,0,0,0,0,0,0,8,0
"16772",1425375,2023,"Individual",16,0,0,0,0,0,0,16,12
"16773",1425411,2023,"Individual",2,0,0,0,0,0,0,2,0
"16774",1425549,2023,"Individual",2,0,0,0,0,0,0,2,0
"16775",1425578,2021,"Individual",28,0,0,0,0,28,28,0,0
"16776",1425578,2022,"Individual",26,0,0,0,0,24,24,2,0
"16777",1425657,2024,"Individual",19,0,0,0,0,0,0,19,18
"16778",1425865,2021,"Individual",39,0,0,0,37,0,0,2,0
"16779",1425865,2022,"Individual",62,0,0,0,57,0,2,3,0
"16780",1425865,2023,"Individual",55,0,0,0,53,0,2,0,0
"16781",1425865,2024,"Individual",35,0,0,0,35,0,0,0,0
"16782",1425916,2022,"Individual",2,0,0,0,0,0,0,2,2
"16783",1425916,2023,"Individual",2,0,0,0,0,0,0,2,0
"16784",1426096,2022,"Individual",2,0,0,0,0,0,0,2,2
