ACCOUNT_KEY,AGE,GENDER,MARITAL_STATUS,INCOME_MIDPOINT,CHILDREN_IN_HH,NUMBER_OF_CHILDREN
97052,71,Male,Married,75000,Y,3
97236,58,Male,Married,35000,N,
97331,68,Male,Married,125000,N,0
97453,26,Male,Married,45000,N,
97686,52,Male,Married,7500,Y,1
97703,46,Female,Married,187500,Y,2
97778,,Male,Married,47500,,
97866,74,Male,Married,112500,N,0
97885,39,Female,Married,150000,Y,4
97986,,,,,,
98061,47,Male,Married,112500,N,0
98079,76,Male,Married,150000,Y,4
98093,58,Male,Married,150000,Y,1
98227,66,Male,Married,150000,N,0
98363,,,,,,
98555,39,Male,Married,150000,Y,1
98577,,,,,,
98747,76,Male,Married,125000,N,0
98916,43,Female,Single,150000,Y,1
99232,38,Male,Single,95000,Y,1
99325,30,Male,Married,35000,N,1
99601,52,Female,Married,225000,Y,2
100093,29,Male,Single,7500,N,1
100453,33,Male,Single,112500,Y,1
100545,36,Male,Single,37500,,
100568,34,Male,Married,150000,Y,2
100703,,,,,,
100747,62,Male,Single,150000,Y,1
100888,51,Male,Married,150000,Y,2
100945,34,Male,Married,17500,Y,1
101167,48,Male,Single,95000,N,
101313,64,Female,Married,70000,Y,2
101317,54,Male,Married,150000,Y,1
101339,34,Male,Married,187500,N,0
101358,29,Male,Married,137500,N,
101393,,,,,,
101639,37,Male,Married,75000,Y,1
101746,,,,,,
101764,79,Male,Married,150000,N,1
101879,22,Male,Married,95000,Y,2
102104,,,,,,
102134,54,Male,Married,250000,Y,2
102357,55,Female,Married,150000,N,
102544,,,,,,
102691,45,Male,Married,150000,Y,2
102756,43,Male,Married,150000,Y,2
102827,,,,,,
102993,69,Male,Single,112500,Y,1
103376,34,Male,Single,150000,N,0
103409,63,Female,Married,112500,N,0
103472,72,Female,Married,95000,N,0
103997,66,Male,Married,150000,Y,2
104107,31,Female,Married,150000,Y,1
104262,60,Male,Married,150000,Y,4
104295,,,,,,
104361,34,Male,Married,137500,N,0
104482,67,Male,Single,150000,Y,1
104783,60,Female,Single,25000,N,0
104861,79,Male,Married,65000,N,0
105172,29,Male,Single,150000,N,
105185,69,Male,Married,75000,N,0
105502,,,,,,
105508,44,Female,Married,150000,Y,6
105955,50,Female,Married,150000,Y,3
106129,,,,,,
106171,45,Male,Married,150000,Y,1
106177,,,,,,
106293,51,Male,Married,112500,Y,4
106312,,,,,,
106706,,,,,,
106730,,,,,,
106948,46,Male,Married,162500,Y,2
107260,39,Female,Single,25000,Y,3
107474,77,Male,Married,45000,N,0
107547,,,,,,
107649,45,Male,Married,150000,Y,4
108158,73,Male,Married,25000,Y,1
108239,44,Male,Married,70000,Y,3
108323,29,Male,Single,150000,Y,1
108464,56,Male,Married,65000,N,
108642,32,Male,Married,87500,Y,1
108801,62,Male,Married,87500,N,0
108826,60,Male,Single,225000,Y,2
108983,37,Male,Single,150000,Y,1
109060,72,Male,Married,150000,N,0
109318,90,Male,Married,125000,N,0
109457,40,Male,Single,125000,Y,1
109732,43,Female,Single,75000,Y,6
109893,58,Female,Married,225000,Y,2
110156,,,,,,
110255,30,Female,Single,25000,N,
110323,,,,,,
110426,56,Female,Married,125000,Y,3
110502,,,,,,
110554,,,,,,
110657,47,Male,Single,75000,Y,2
110984,,,,,,
111047,65,Female,Married,95000,N,0
111072,43,Male,Single,150000,Y,1
